,ID,community,CPDB,NicheNet
346,NOTUM_WNT9B,True,False,False
347,INSL3_GPR84,True,False,True
348,GAL_NPBWR1,False,False,True
349,CGA_PTGER2,False,False,True
350,ANGPT1_ITGA5,True,False,True
351,EFNB1_DSG4,True,False,False
352,GAL_S1PR3,False,False,True
353,BMP8B_PLAUR,True,True,False
354,TNFRSF12A_LILRB3,True,False,False
355,GNA15_GRM4,True,False,False
356,BAMBI_ACVR2A,True,False,False
357,CLDN2_CLDN3,True,False,False
358,GLG1_SELE,False,True,False
359,PPY_P2RY13,False,False,True
360,ANXA1_OXTR,False,False,True
361,CXCL13_RXFP3,False,False,True
362,PPY_ADORA3,False,False,True
363,GAL_GALR1,True,True,True
364,CASP8_FADD,True,False,False
365,WNT1_NOTCH1,False,False,True
366,NDP_LRP5,False,True,True
367,UTS2B_F2RL3,False,False,True
368,WNT11_FRZB,False,True,False
369,SST_CXCR5,False,False,True
370,CXCL16_RXFP4,False,False,True
371,CXCL3_DRD2,False,False,True
372,VWF_TNFRSF11B,True,False,True
373,COL1A1_CD93,True,False,False
374,TNFRSF6B_SIGLEC10,True,False,False
375,CD24_SIGLEC10,True,False,False
376,IL12B_IL23R,True,True,True
377,APP_NPY2R,False,False,True
378,CXCL6_RXFP3,False,False,True
379,ALCAM_NRP1,True,False,False
380,GAST_LPAR5,False,False,True
381,NECTIN3_PVR,True,True,False
382,C3_ITGB2,True,True,True
383,APP_HTR5A,False,False,True
384,NPW_CCR2,False,False,True
385,CORT_GABBR2,False,False,True
386,FGF7_PIK3CB,False,False,True
387,NPB_SSTR4,False,False,True
388,JAG1_NOTCH2,True,True,True
389,LAMA2_ITGB1,True,False,True
390,APP_GRM7,True,False,False
391,DUSP18_RPSA,True,False,True
392,CXCL10_GALR1,False,False,True
393,CXCL9_HRH3,False,False,True
394,NPFF_CCKAR,False,False,True
395,CCL21_GRM2,False,False,True
396,CDH1_PTPRF,True,False,True
397,KNG1_HTR1A,False,False,True
398,CXCL6_CHRM4,False,False,True
399,INS_IGF1R,True,False,True
400,SST_CXCR2,False,False,True
401,NPPC_NPR3,True,True,True
402,COL19A1_ITGA10,False,True,False
