,ID,community,CPDB,NicheNet
819,MYLK,True,False,True
820,CATSPERB,False,True,False
821,LTB4R,False,True,False
822,CELSR2,True,True,False
823,IGFBP3,False,True,False
824,NTSR1,True,True,True
825,RAMP1,True,True,True
826,NRP2,True,True,True
827,ADO,True,False,False
828,TNFSF14,True,True,True
829,PLA2G2A,True,True,False
830,SEMA5B,True,False,False
831,HTR1A,True,True,True
832,KNG1,True,True,True
833,IFNA7,True,True,True
834,GPHA2,True,True,True
835,SORCS2,True,False,False
836,A1BG,True,False,False
837,TNFRSF1B,True,True,True
838,EFEMP2,True,False,False
839,IL23R,True,True,True
840,IL27RA,True,True,False
841,ITGAM,True,True,True
842,CHAT,False,True,False
843,RET,True,True,True
844,CALCR,True,True,True
845,IFNG,True,True,True
846,FGF19,True,True,True
847,BRS3,True,False,False
848,MMP13,True,False,True
849,SIGLEC9,True,False,False
850,CSF3R,True,True,True
851,MIA,True,False,False
852,SCGB3A2,True,False,False
853,FCAMR,True,False,False
854,GRN,True,True,False
855,APP,True,True,True
856,NR1I2,False,True,False
857,HTR1E,True,True,True
858,CD48,True,True,False
859,PODXL,True,True,False
860,PLXNA4,True,True,True
861,MS4A4A,True,True,False
862,GAS6,True,True,True
863,IL24,True,True,True
864,RNASE2,True,False,False
865,TARM1,True,False,False
866,SLC1A5,True,True,False
867,ROBO1,True,True,True
868,DSG1,True,True,False
869,TLN1,True,False,False
870,CNTNAP2,True,False,True
871,HRH1,True,True,True
872,TAFA4,True,False,False
873,CCL2,True,True,True
874,STX3,True,False,False
875,ANXA1,True,True,True
876,CXCL11,True,True,True
877,RORB,False,True,False
878,NXNL1,False,True,False
879,CLEC2D,True,True,False
880,PLTP,True,False,False
881,S100B,True,False,False
882,ADRA2B,False,True,False
883,SLC2A2,True,False,False
884,DHH,True,True,True
885,RTN4R,True,False,True
886,ENPEP,True,False,False
887,EPHA5,True,True,True
888,PTPRD,True,False,False
889,RNF43,True,False,False
890,SLC18A2,True,False,False
891,TAC1,True,True,True
892,SERPINF1,True,False,False
893,CD63,True,False,False
894,CCN3,True,False,False
895,NRG2,True,True,True
896,BMPR1A,True,True,True
897,IL23A,True,True,True
898,SRD5A2,False,True,False
899,CD79A,True,False,False
900,CNTN3,True,False,False
901,GLP2R,True,True,True
902,TPO,True,True,False
903,ALDH1A1,False,True,False
904,ADCY1,True,False,False
905,MC4R,True,True,True
906,NFASC,True,False,True
907,L1CAM,True,True,True
908,CALCA,True,True,True
909,EPHB6,True,True,True
910,HSD17B3,False,True,False
911,APOC2,True,False,False
912,FGF12,True,False,True
913,LPL,True,False,False
914,KIT,True,True,True
915,RECK,True,False,False
916,NPB,True,True,True
917,CXCR4,True,True,True
918,APOC4,True,False,False
919,HCST,True,True,False
920,SULT1E1,False,True,False
921,APOA1,True,True,False
922,DHCR7,False,True,False
923,LUM,True,False,False
924,LIPC,True,False,False
925,FAM19A1,False,True,False
926,SLC40A1,True,False,False
927,CHRNB2,True,True,False
928,SLITRK5,True,False,False
929,COL4A3,True,True,False
930,CEACAM16,True,False,False
931,TNFSF8,True,True,True
932,PTN,True,True,True
933,OPRM1,True,True,True
934,GNAI2,True,False,False
935,ILDR1,True,False,False
936,EPHA4,True,True,True
937,NPVF,True,True,True
938,PTPRB,True,False,True
939,ALK,True,True,True
940,ENO1,True,False,False
941,BMP8A,True,True,False
942,RPH3A,True,False,False
943,NOV,False,True,True
944,PSG9,True,False,False
945,NCR2,True,False,False
946,RBP3,True,False,False
947,FGFR4,True,True,True
948,SV2A,False,False,True
949,CDH5,True,False,True
950,ADGRV1,True,True,False
951,DIP2A,True,False,False
952,CXCL10,True,True,True
953,SLC22A17,False,True,False
954,MRC1,False,True,False
955,SCN8A,True,False,False
956,MFAP2,True,False,False
957,IL18,True,True,True
958,PLXNA2,True,True,True
959,TREML4,True,False,False
960,COL4A5,True,True,False
961,TNFSF18,True,True,True
962,SPINK1,True,False,False
963,NXPH2,True,False,False
964,TRPM3,True,False,False
965,ACVR2B,True,True,True
966,F2RL1,True,False,True
967,SLIT2,True,True,True
968,FGF8,True,True,True
969,LILRA4,True,True,False
970,SPARC,True,False,False
971,INHBC,True,True,True
972,CD276,False,True,False
973,IFNA16,True,True,True
974,YBX1,True,False,False
975,EFNA5,True,True,True
976,RSPO2,True,True,True
977,RTN4,True,False,True
978,HLA-DQB1,True,False,False
979,RSPO4,True,True,True
980,SFTPA2,True,False,False
981,IL1RAPL2,True,False,False
982,PTGER2,True,True,False
983,COPA,False,True,True
984,NMB,True,True,True
985,CCL16,True,True,True
986,IGSF10,True,False,False
987,COLQ,True,False,False
988,PDYN,True,True,True
989,SCARF1,True,False,True
990,CADM4,False,True,False
991,PTGS2,True,False,True
992,ITGB6,True,True,True
993,COL27A1,False,True,False
994,KL,True,True,False
995,ADAM12,True,False,True
996,CER1,True,True,False
997,PTH1R,True,True,True
998,TMIGD2,True,False,False
999,CNTN4,True,False,False
1000,GPR25,True,True,False
1001,NXPH1,True,False,True
1002,CD70,True,True,True
1003,SIGLEC5,True,False,False
1004,NPPC,True,True,True
1005,PAPLN,True,False,False
1006,QRFP,True,True,True
1007,CNTN6,True,False,False
1008,EPHB4,True,True,True
1009,GFRA4,True,True,True
1010,GPC3,True,True,False
1011,CCL4L2,False,True,False
1012,EPHA3,True,True,True
1013,CD74,True,True,False
1014,RXFP4,True,True,True
1015,GSTP1,True,False,True
1016,ENAM,True,False,False
1017,IL20RB,True,True,True
1018,GP9,True,False,True
1019,SLITRK6,True,False,False
1020,WFIKKN2,True,False,False
1021,SEMA3E,True,True,True
1022,PRND,True,False,True
1023,SERPING1,True,False,True
1024,ANGPTL1,True,False,True
1025,COL6A5,False,True,False
1026,IL12RB2,True,True,True
1027,CCK,True,True,True
1028,SEMA3A,True,True,True
1029,F3,True,False,True
1030,CLEC12A,True,False,False
1031,CYP19A1,False,True,False
1032,CCL28,True,True,True
1033,GUCY2D,True,False,False
1034,IFNL1,True,True,True
1035,LRRC4C,True,False,True
1036,SIGLEC10,True,True,False
1037,LGI4,True,False,False
1038,PTPRZ1,True,True,True
1039,GDF11,True,True,True
1040,WNT5A,True,True,True
1041,P2RY14,True,False,True
1042,CFH,True,False,True
1043,CSH2,False,False,True
1044,IL7,True,True,True
1045,TMIGD3,True,False,False
1046,TGM2,True,False,False
1047,PDGFRA,True,True,True
1048,PTGFR,False,True,False
1049,NXPH3,True,False,True
1050,ITGAX,True,True,True
1051,CLEC2L,True,False,False
1052,EFNB2,True,True,True
1053,HLA-A,True,True,True
1054,RAMP3,True,True,False
1055,CNGA2,True,False,True
1056,AGRP,True,True,True
1057,SLPI,True,False,False
1058,C5AR2,True,True,True
1059,PYY,True,True,True
1060,ERBB3,True,True,True
1061,PLSCR4,True,False,False
1062,IGF1,True,True,True
1063,GPR75,True,True,True
1064,LPAR2,True,False,True
1065,DUSP18,True,False,True
1066,VASN,True,False,False
1067,CDH10,True,False,False
1068,LEAP2,True,True,False
1069,LMBR1L,True,False,False
1070,IAPP,True,True,True
1071,CDH3,False,False,True
1072,VIPR2,True,True,True
1073,RXRG,False,True,False
1074,GDF10,True,True,False
1075,FCER1A,True,False,False
1076,IGFL1,True,True,False
1077,ITGA7,True,True,True
1078,SLIT1,True,True,True
1079,FGF6,True,True,True
1080,IGF2R,True,True,True
